Type,Subject,Catalog_Nbr,Class_Nbr,Section,Component_Index,Day_Number,Day_Name,Start_Time,End_Time,Start_Minutes,End_Minutes,Building,Room
Tutorial,ELEC,342,M,M MA,0,9,Week 2 - Tuesday,17:45,18:35,1065,1115,,
Tutorial,ELEC,342,M,M MB,1,10,Week 2 - Wednesday,16:40,17:30,1000,1050,,
Lab,ELEC,351,W,WM-X,4,1,Week 1 - Monday,17:45,20:30,1065,1230,H,853
Lab,ELEC,351,W,WJ-X,1,4,Week 1 - Thursday,08:45,11:30,525,690,H,853
Lab,ELEC,351,W,WI-X,0,8,Week 2 - Monday,11:45,14:30,705,870,H,853
Lab,ELEC,351,W,WK-X,2,8,Week 2 - Monday,11:45,14:30,705,870,H,853
Lab,ELEC,351,W,WL-X,3,9,Week 2 - Tuesday,14:45,17:30,885,1050,H,853
Lab,ELEC,351,W,WN-X,5,12,Week 2 - Friday,14:45,17:30,885,1050,H,853
Tutorial,ELEC,351,W,W WA,0,4,Week 1 - Thursday,08:45,09:35,525,575,,
Tutorial,ELEC,351,W,W WB,1,5,Week 1 - Friday,16:40,17:30,1000,1050,,
Tutorial,ELEC,351,W,W WA,0,11,Week 2 - Thursday,08:45,09:35,525,575,,
Tutorial,ELEC,351,W,W WB,1,12,Week 2 - Friday,16:40,17:30,1000,1050,,
Lab,ELEC,366,M,ML-X,2,1,Week 1 - Monday,08:45,11:30,525,690,H,921
Lab,ELEC,366,M,MK-X,1,5,Week 1 - Friday,11:45,14:30,705,870,H,921
Lab,ELEC,366,M,MJ-X,0,10,Week 2 - Wednesday,11:45,14:30,705,870,H,921
Lab,ELEC,367,W,WM-X,3,3,Week 1 - Wednesday,14:45,17:30,885,1050,H,801
Lab,ELEC,367,W,WL-X,2,9,Week 2 - Tuesday,17:45,20:30,1065,1230,H,801
Lab,ELEC,367,W,WK-X,1,10,Week 2 - Wednesday,08:45,11:30,525,690,H,801
Lab,ELEC,367,W,WJ-X,0,10,Week 2 - Wednesday,17:45,20:30,1065,1230,H,801
Tutorial,ELEC,367,W,W WB,1,2,Week 1 - Tuesday,13:40,14:30,820,870,,
Tutorial,ELEC,367,W,W WA,0,2,Week 1 - Tuesday,19:40,20:30,1180,1230,,
Tutorial,ELEC,367,W,W WB,1,9,Week 2 - Tuesday,13:40,14:30,820,870,,
Tutorial,ELEC,367,W,W WA,0,9,Week 2 - Tuesday,19:40,20:30,1180,1230,,
Lab,ELEC,372,U,UL-X,2,3,Week 1 - Wednesday,14:45,17:30,885,1050,H,863
Lab,ELEC,372,U,UM-X,3,8,Week 2 - Monday,17:45,20:30,1065,1230,H,863
Lab,ELEC,372,U,UJ-X,1,10,Week 2 - Wednesday,17:45,20:30,1065,1230,H,863
Lab,ELEC,372,U,UI-X,0,11,Week 2 - Thursday,17:45,20:30,1065,1230,H,863
Lab,ELEC,372,U,UN-X,4,12,Week 2 - Friday,11:45,14:30,705,870,H,863
Tutorial,ELEC,372,U,U UA,0,2,Week 1 - Tuesday,08:45,09:35,525,575,,
Tutorial,ELEC,372,U,U UB,1,4,Week 1 - Thursday,17:45,18:35,1065,1115,,
Tutorial,ELEC,372,U,U UC,2,5,Week 1 - Friday,08:45,09:35,525,575,,
Tutorial,ELEC,372,U,U UA,0,9,Week 2 - Tuesday,08:45,09:35,525,575,,
Tutorial,ELEC,372,U,U UB,1,11,Week 2 - Thursday,17:45,18:35,1065,1115,,
Tutorial,ELEC,372,U,U UC,2,12,Week 2 - Friday,08:45,09:35,525,575,,
Tutorial,ELEC,390,E,EC C,2,1,Week 1 - Monday,11:45,13:25,705,805,,
Tutorial,ELEC,390,E,EC B,1,3,Week 1 - Wednesday,08:45,10:25,525,625,,
Tutorial,ELEC,390,E,EC A,0,3,Week 1 - Wednesday,12:50,14:30,770,870,,
Tutorial,ELEC,390,E,EC C,2,8,Week 2 - Monday,11:45,13:25,705,805,,
Tutorial,ELEC,390,E,EC B,1,10,Week 2 - Wednesday,08:45,10:25,525,625,,
Tutorial,ELEC,390,E,EC A,0,10,Week 2 - Wednesday,12:50,14:30,770,870,,
Lab,ELEC,453,W,WJ-X,1,1,Week 1 - Monday,11:45,14:30,705,870,H,853
Lab,ELEC,453,W,WI-X,0,3,Week 1 - Wednesday,08:45,11:30,525,690,H,853
Lab,ELEC,465,W,WI-X,0,2,Week 1 - Tuesday,08:45,11:30,525,690,H,919
Lab,ELEC,465,W,WJ-X,1,3,Week 1 - Wednesday,14:45,17:30,885,1050,H,919
Lab,ELEC,483,U,UUUI,0,1,Week 1 - Monday,14:45,17:30,885,1050,H,832-2
Lab,ELEC,483,U,UUUJ,1,1,Week 1 - Monday,17:45,20:30,1065,1230,H,832-2
Lab,ELEC,483,U,UUUK,2,5,Week 1 - Friday,08:45,11:30,525,690,H,832-2
Lab,ELEC,6391,W,WI-X,0,12,Week 2 - Friday,08:45,11:30,525,690,H,853
Lab,ELEC,6391,W,WJ-X,1,12,Week 2 - Friday,17:45,20:30,1065,1230,H,853
Tutorial,ENGR,290,N,N NX,0,2,Week 1 - Tuesday,08:45,10:25,525,625,,
Tutorial,ENGR,290,N,N NY,1,2,Week 1 - Tuesday,18:50,20:30,1130,1230,,
Tutorial,ENGR,290,N,N NX,0,9,Week 2 - Tuesday,08:45,10:25,525,625,,
Tutorial,ENGR,290,N,N NY,1,9,Week 2 - Tuesday,18:50,20:30,1130,1230,,
Tutorial,ENGR,290,U,U UA,0,1,Week 1 - Monday,12:50,14:30,770,870,,
Tutorial,ENGR,290,U,U UB,1,5,Week 1 - Friday,08:45,10:25,525,625,,
Tutorial,ENGR,290,U,U UA,0,8,Week 2 - Monday,12:50,14:30,770,870,,
Tutorial,ENGR,290,U,U UB,1,12,Week 2 - Friday,08:45,10:25,525,625,,
